date,text
2025-07-22 21:18:22+00:00,"غلامحسین محسنی اژه‌ای، رییس قوه قضاییه جمهوری اسلامی، در پاسخ به سوال علی رضوانی، بازجو-خبرنگار صداو‌سیما، درباره نقش رهبری در جنگ ۱۲ روزه حکومت با اسرائیل گفت: «در جنگ اخیر برای مردم عیان شد که نقش رهبری طی این ۴۶ سال در زمان بحران چه بوده است. رهبری در حوادث نظامی و غیرنظامی و حتی طبیعی و غیر‌طبیعی نقش کلیدی داشته است.»
او در ادامه افزود: «با این رهبری، مردم و ظرفیت‌هایی که داریم، آینده بسیار روشن است.»"
2025-07-22 20:09:26+00:00,"یسرائیل کاتز، وزیر دفاع اسرائیل، در جلسه‌ای با فرماندهان ارشد ارتش این کشور گفت که امکان ازسرگیری نبرد با جمهوری اسلامی وجود دارد.

کاتز با اشاره به «جنگ ۱۲ روزه» اسرائیل و جمهوری اسلامی گفت که باید دستاوردهای عملیات «طلوع شیران» به‌ویژه در زمینه برتری هوایی حفظ شود و خواستار تدوین یک برنامه اجرایی موثر برای جلوگیری از بازسازی پروژه‌های هسته‌ای و موشکی جمهوری اسلامی شد.

این جلسه با حضور  ایال زمیر، رییس ستاد کل ارتش اسرائیل، و روسای بخش‌های عملیات، اطلاعات نظامی و طرح‌ریزی، جمعی از فرماندهان بلندپایه ارتش و نمایندگانی از موساد و شین‌بت برگزار شد.
https://iranintl.com/202507220028"
2025-07-22 19:45:10+00:00,"شهرام خلدی، پژوهشگر تاریخ خاورمیانه و روابط بین‌الملل، می‌گوید: «جمهوری اسلامی برخلاف جنگ با عراق، دیگر نمی‌تواند از کش دادن جنگ بهره‌برداری کند. آن زمان به زیرساخت‌های دوران پهلوی تکیه می‌کرد، اما امروز چیزی برای اتکا ندارد و در موقعیتی نیست که تاب یک جنگ فرسایشی را داشته باشد.»
@iranintltv"
2025-07-22 19:44:26+00:00,"سازمان عفو بین‌الملل اعلام کرد حمله اسرائیل به زندان اوین تهران باید به عنوان «جنایت جنگی» مورد تحقیق قرار بگیرد.

گفت‌وگو با رها بحرینی حقوقدان و پژوهشگر عفو بین‌الملل در امور ایران
@iranintltv"
2025-07-22 18:46:13+00:00,"حسین آقایی، عضو تحریریه ایران‌اینترنشنال، درباره علل توقف ناگهانی جنگ اسرائیل با جمهوری اسلامی می‌گوید: «نتانیاهو به‌دنبال ادامه جنگ و شروع فاز دوم حمله بود که به حذف مهره‌های کلیدی جمهوری اسلامی با هدف تغییر رژیم می‌انجامید، ولی آمریکا مانع ادامه این حملات شد.»
@iranintltv"
2025-07-22 18:04:07+00:00,"سعید لیلاز، فعال اصلاح‌طلب و عضو شورای مرکزی حزب کارگزاران سازندگی، با اشاره به نفوذ گسترده اطلاعاتی و ناکارآمدی کامل ساختارهای امنیتی جمهوری اسلامی، گفت که در جریان جنگ «۱۲ روزه» اسرائیل و جمهوری اسلامی، «بین ۱۲۰ تا ۱۵۰ لانچر موشک» در ایران، در لحظه شروع به‌کار، به‌طور هم‌زمان منفجر شدند.

لیلاز گفت: «از نظر امنیتی، جمهوری اسلامی ایران به‌راحتی می‌توان گفت به زیر کشیده شد. این بزرگ‌ترین نقطه‌ضعفی است که نشان داده شد.»

او با اشاره به عملکرد سیستم پدافندی در جریان درگیری اخیر افزود: «کل سامانه ضد هوایی ایران هک شده است. ما در یک خواب و رویای ابلهانه‌ی خرگوشی به سر می‌بریم.»
https://iranintl.com/202507227244"
2025-07-22 17:58:58+00:00,"🔻علیرضا فغانی، داور بین‌المللی ایرانی پس از حملات گسترده رسانه‌های حکومتی به دلیل عکس یادگاری با دونالد ترامپ،‌ رئیس جمهور آمریکا پس از فینال جام جهانی باشگاه‌ها به ایسنا گفته که مانند دیگر تورنمنت‌های اخیر فیفا، ترامپ هم برای اهدای جوایز حضور یافت و «بنده طبق پروتکل‌ها اقدام کردم و هیچ عکس العمل دیگری غیر از این نمی‌توانستم نشان دهم.»

🔹اشاره او به حضور پوتین، رئیس جمهور روسیه در فینال جام جهانی ۲۰۱۸ و امیر قطر در فینال جام جهانی ۲۰۲۲ و اهدای مدال‌ها و کاپ توسط آنهاست.

🔹این اظهارات داور ایرانی فیفا درحالی است که بسیاری از رسانه‌های حکومتی و هواداران جمهوری اسلامی، او را به دلیل برخورد نکردن با ترامپ در فینال جام جهانی، مورد حمله قرار داده بودند.

🔹ایسنا به نقل از فغانی همچنین نوشته: «جنگ ۱۲ روزه را محکوم می‌کنم و چه کسی است که دوست دارد در کشورش جنگ شود و مردمش زیر بمباران باشند، پدر و مادرم، اقوامم و مردم کشورم در ایران زندگی می‌کنند و همواره دوست دارم بهترین شرایط برای آنها رقم بخورد و در بهترین شرایط زندگی کنند.»

@iranintltvsport"
2025-07-22 17:52:39+00:00,"ثمانه قدرخان، روزنامه‌نگار و عضو تحریریه ایران‌وایر، می‌گوید: «جمهوری اسلامی سال‌هاست نتوانسته مراکز، ساختمان‌ها و منازل تخریب‌شده را بازسازی یا جبران خسارت کند. مناطقی داریم که پس از چهار دهه از جنگ، هنوز قابل سکونت نیستند؛ بنابراین متاسفانه امید زیادی به بازسازی پس از جنگ ۱۲روزه هم نیست.»

@iranintltv"
2025-07-22 17:30:57+00:00,"نیما اکبرپور، کارشناس فناوری، می‌گوید: «در ایران، جمهوری اسلامی به همه چیز نگاهی امنیت‌محور دارد. در شرایط خاص مانند جنگ با اسرائیل، اولین واکنش حکومت قطع شریان‌های ارتباطی با جهان آزاد مثل اینترنت است که بیشترین آسیب را به مشاغل آنلاین وارد می‌کند»
@iranintltv"
2025-07-22 17:04:01+00:00,"به گزارش بلومبرگ، تحقیقات تازه نشان می‌دهد که در ماه‌های منتهی به آغاز جنگ جمهوری اسلامی و اسرائیل، بیش از ۱۲ شهروند ایرانی در داخل و خارج از کشور هدف جاسوس‌افزارهای بسیار پیشرفته قرار گرفته‌اند؛ حملاتی که از سوی شرکت اپل به‌عنوان «نادر، بسیار پیچیده و میلیون‌دلاری» توصیف شدند.
سازمان حقوق بشری «میان» مستقر در تگزاس اعلام کرد که چندین ایرانی، از جمله دو مخالف سیاسی در داخل ایران و یک متخصص فناوری مقیم اروپا، در نیمه نخست سال ۲۰۲۵ از اپل هشدار تهدید سایبری دریافت کرده‌اند. 
اپل اعلام کرده این حملات احتمالا به دلیل فعالیت‌ها یا جایگاه افراد هدف انجام شده و از پیچیدگی‌ای در سطح جاسوس‌افزار اسرائیلی پگاسوس برخوردار بوده‌اند.
حمید کشفی، پژوهشگر امنیت سایبری مقیم سوئد، نیز گفته ۱۲ قربانی دیگر را شناسایی کرده که همگی در ایران فعالیت داشته‌اند. او تاکید کرده که این حملات از نوع «زیرو-کلیک» بوده که بدون نیاز به دخالت کاربر، از آسیب‌پذیری‌های ناشناخته برای نفوذ به دستگاه استفاده می‌کند.

https://iranintl.com/202507229988"
