date,text,clean_text,tokens
2025-07-23 01:37:17+00:00,"حسن خمینی، نوه رهبر پیشین جمهوری اسلامی گفت: امروز که به دوگانه «وطن‌دوست و وطن‌فروش» رسیده‌ایم، همه خودی‌ها کسانی‌اند که وطن‌دوست‌اند، حتی اگر تقید دینی کمتری داشته باشند. 
نوه رهبر پیشین جمهوری اسلامی با اشاره به اینکه هدف از جنگ ۱۲ روزه «تجزیه و براندازی» جمهوری اسلامی بود، گفت: «باید به فرماندهی کل قوا اعتماد کنیم.»

او افزود: «بی‌تردید وجود رهبر جمهوری اسلامی یکی از بزرگ‌ترین عوامل توفیق ما در جنگ بود.»
https://iranintl.com/202507238260",حسن خمینی، نوه رهبر پیشین جمهوری اسلامی گفت: امروز که به دوگانه «وطن‌دوست و وطن‌فروش» رسیده‌ایم، همه خودی‌ها کسانی‌اند که وطن‌دوست‌اند، حتی اگر تقید دینی کمتری داشته باشند. نوه رهبر پیشین جمهوری اسلامی با اشاره به اینکه هدف از جنگ ۱۲ روزه «تجزیه و براندازی» جمهوری اسلامی بود، گفت: «باید به فرماندهی کل قوا اعتماد کنیم.» او افزود: «بی‌تردید وجود رهبر جمهوری اسلامی یکی از بزرگ‌ترین عوامل توفیق ما در جنگ بود.»,"['حسن', 'خمینی', 'نوه', 'رهبر', 'پیشین', 'جمهوری_اسلامی', 'امروز', 'دوگانه', 'وطن', 'دوست', 'وطن', 'فروش', 'خودی', 'وطن', 'دوست', 'تقید', 'دینی', 'کمتر', 'نوه', 'رهبر', 'پیشین', 'جمهوری_اسلامی', 'اشاره_اینکه', 'هدف', 'جنگ_روزه', 'تجزیه', 'براندازی', 'جمهوری_اسلامی', 'فرماندهی', 'قوا', 'اعتماد', 'تردید', 'رهبر_جمهوری', 'اسلامی', 'بزرگ_ترین', 'عوامل', 'توفیق', 'جنگ']"
2025-07-22 23:51:14+00:00,حسین دارابی کارگردان فیلم خدای جنگ در یک مصاحبه گفته: «حاجی‌زاده گفت اگر لازم باشد برای ساخت این فیلم موشک واقعی هم شلیک می‌کنیم»,حسین دارابی کارگردان فیلم خدای جنگ در یک مصاحبه گفته: «حاجی‌زاده گفت اگر لازم باشد برای ساخت این فیلم موشک واقعی هم شلیک می‌کنیم»,"['حسین', 'دارابی', 'کارگردان', 'فیلم', 'خدای', 'جنگ', 'مصاحبه', 'حاجی_زاده', 'ساخت', 'فیلم', 'موشک', 'واقعی', 'شلیک']"
2025-07-22 23:17:31+00:00,"کریس رایت، وزیر انرژی آمریکا، روز سه‌شنبه در گفت‌وگو با فاکس‌نیوز گفت تحریم نفت روسیه با هدف پایان‌دادن به جنگ اوکراین «کاملا محتمل» است.

دونالد ترامپ، رییس‌جمهوری آمریکا، نیز اوایل ماه جاری میلادی گفت واشینگتن ممکن است بر خریداران نفت روسیه تعرفه ۱۰۰ درصدی اعمال کند و تحریم‌های دیگری نیز وضع کند، مگر آن‌که مسکو با توافق صلحی عمده با اوکراین موافقت کند. مهلت این توافق تا اوایل سپتامبر است.
https://iranintl.com/202507221114",کریس رایت، وزیر انرژی آمریکا، روز سه‌شنبه در گفت‌وگو با فاکس‌نیوز گفت تحریم نفت روسیه با هدف پایان‌دادن به جنگ اوکراین «کاملا محتمل» است. دونالد ترامپ، رییس‌جمهوری آمریکا، نیز اوایل ماه جاری میلادی گفت واشینگتن ممکن است بر خریداران نفت روسیه تعرفه ۱۰۰ درصدی اعمال کند و تحریم‌های دیگری نیز وضع کند، مگر آن‌که مسکو با توافق صلحی عمده با اوکراین موافقت کند. مهلت این توافق تا اوایل سپتامبر است.,"['کریس', 'رایت', 'وزیر', 'انرژی', 'آمریکا', 'روز_شنبه', 'فاکس_نیوز', 'تحریم', 'نفت', 'روسیه', 'هدف', 'پایان_دادن', 'جنگ', 'اوکراین', 'محتمل', 'دونالد_ترامپ', 'رییس_جمهوری', 'آمریکا', 'اوایل', 'ماه', 'میلادی', 'واشینگتن', 'خریدار', 'نفت', 'روسیه', 'تعرفه', 'درصدی', 'اعمال', 'تحریم', 'وضع', 'مگر', 'مسکو', 'توافق', 'صلحی', 'عمده', 'اوکراین', 'موافقت', 'مهلت', 'توافق', 'اوایل', 'سپتامبر']"
2025-07-22 23:06:47+00:00,"مراد ویسی، تحلیل‌گر ارشد ایران‌اینترنشنال، می‌گوید: «در اسرائیل، اجماع گسترده‌ای درباره لزوم حمله مجدد به جمهوری اسلامی وجود دارد؛ وزرای دفاع فعلی و پیشین این کشور در فاصله‌های کوتاه از آمادگی برای حمله گفته‌اند. آتش‌بس ترامپ فقط تنفسی میان دو نیمه جنگ است.»
@iranintltv",مراد ویسی، تحلیل‌گر ارشد ایران‌اینترنشنال، می‌گوید: «در اسرائیل، اجماع گسترده‌ای درباره لزوم حمله مجدد به جمهوری اسلامی وجود دارد؛ وزرای دفاع فعلی و پیشین این کشور در فاصله‌های کوتاه از آمادگی برای حمله گفته‌اند. آتش‌بس ترامپ فقط تنفسی میان دو نیمه جنگ است.»,"['مراد_ویسی', 'تحلیل_ارشد', 'ایران_اینترنشنال', 'اسرائیل', 'اجماع', 'لزوم', 'حمله', 'مجدد', 'جمهوری_اسلامی', 'وزرا', 'دفاع', 'فعلی', 'پیشین', 'این_کشور', 'فاصله', 'کوتاه', 'آمادگی', 'حمله', 'آتش', 'ترامپ', 'تنفس', 'جنگ']"
2025-07-22 22:19:36+00:00,"🎧نسخه صوتی  سیاست با مراد ویسی: جنگ سوم جمهوری‌اسلامی؛ جنگ آخر خامنه‌ای
 
@iranintlTV",نسخه صوتی سیاست با مراد ویسی: جنگ سوم جمهوری‌اسلامی؛ جنگ آخر خامنه‌ای,"['نسخه_صوتی', 'سیاست', 'مراد_ویسی', 'جنگ', 'جمهوری_اسلامی', 'جنگ', 'آخر', 'خامنه']"
2025-07-22 21:18:22+00:00,"غلامحسین محسنی اژه‌ای، رییس قوه قضاییه جمهوری اسلامی، در پاسخ به سوال علی رضوانی، بازجو-خبرنگار صداو‌سیما، درباره نقش رهبری در جنگ ۱۲ روزه حکومت با اسرائیل گفت: «در جنگ اخیر برای مردم عیان شد که نقش رهبری طی این ۴۶ سال در زمان بحران چه بوده است. رهبری در حوادث نظامی و غیرنظامی و حتی طبیعی و غیر‌طبیعی نقش کلیدی داشته است.»
او در ادامه افزود: «با این رهبری، مردم و ظرفیت‌هایی که داریم، آینده بسیار روشن است.»",غلامحسین محسنی اژه‌ای، رییس قوه قضاییه جمهوری اسلامی، در پاسخ به سوال علی رضوانی، بازجو-خبرنگار صداو‌سیما، درباره نقش رهبری در جنگ ۱۲ روزه حکومت با اسرائیل گفت: «در جنگ اخیر برای مردم عیان شد که نقش رهبری طی این ۴۶ سال در زمان بحران چه بوده است. رهبری در حوادث نظامی و غیرنظامی و حتی طبیعی و غیر‌طبیعی نقش کلیدی داشته است.» او در ادامه افزود: «با این رهبری، مردم و ظرفیت‌هایی که داریم، آینده بسیار روشن است.»,"['غلامحسین', 'محسنی_اژه', 'رییس', 'قوه_قضاییه', 'جمهوری_اسلامی', 'پاسخ', 'سوال', 'علی', 'رضوانی', 'بازجو', 'خبرنگار', 'صداو', 'سیما', 'نقش', 'رهبری', 'جنگ_روزه', 'حکومت', 'اسرائیل', 'جنگ', 'مردم', 'عیان', 'نقش', 'رهبری', 'سال', 'زمان', 'بحران', 'رهبری', 'حوادث', 'نظامی', 'غیرنظامی', 'طبیعی', 'طبیعی', 'نقش', 'کلیدی', 'ادامه', 'رهبری', 'مردم', 'ظرفیت', 'آینده', 'روشن']"
2025-07-22 20:09:26+00:00,"یسرائیل کاتز، وزیر دفاع اسرائیل، در جلسه‌ای با فرماندهان ارشد ارتش این کشور گفت که امکان ازسرگیری نبرد با جمهوری اسلامی وجود دارد.

کاتز با اشاره به «جنگ ۱۲ روزه» اسرائیل و جمهوری اسلامی گفت که باید دستاوردهای عملیات «طلوع شیران» به‌ویژه در زمینه برتری هوایی حفظ شود و خواستار تدوین یک برنامه اجرایی موثر برای جلوگیری از بازسازی پروژه‌های هسته‌ای و موشکی جمهوری اسلامی شد.

این جلسه با حضور  ایال زمیر، رییس ستاد کل ارتش اسرائیل، و روسای بخش‌های عملیات، اطلاعات نظامی و طرح‌ریزی، جمعی از فرماندهان بلندپایه ارتش و نمایندگانی از موساد و شین‌بت برگزار شد.
https://iranintl.com/202507220028",یسرائیل کاتز، وزیر دفاع اسرائیل، در جلسه‌ای با فرماندهان ارشد ارتش این کشور گفت که امکان ازسرگیری نبرد با جمهوری اسلامی وجود دارد. کاتز با اشاره به «جنگ ۱۲ روزه» اسرائیل و جمهوری اسلامی گفت که باید دستاوردهای عملیات «طلوع شیران» به‌ویژه در زمینه برتری هوایی حفظ شود و خواستار تدوین یک برنامه اجرایی موثر برای جلوگیری از بازسازی پروژه‌های هسته‌ای و موشکی جمهوری اسلامی شد. این جلسه با حضور ایال زمیر، رییس ستاد کل ارتش اسرائیل، و روسای بخش‌های عملیات، اطلاعات نظامی و طرح‌ریزی، جمعی از فرماندهان بلندپایه ارتش و نمایندگانی از موساد و شین‌بت برگزار شد.,"['یسرائیل', 'کاتز', 'وزیر_دفاع', 'اسرائیل', 'جلسه', 'فرمانده_ارشد', 'ارتش', 'این_کشور', 'ازسرگیری', 'نبرد', 'جمهوری_اسلامی', 'کاتز', 'اشاره_جنگ', 'روزه_اسرائیل', 'جمهوری_اسلامی', 'دستاورد', 'عملیات', 'طلوع', 'شیران', 'زمینه', 'برتری', 'هوایی', 'حفظ', 'خواستار', 'تدوین', 'برنامه', 'اجرایی', 'موثر', 'جلوگیری', 'بازسازی', 'پروژه', 'هسته', 'موشک', 'جمهوری_اسلامی', 'جلسه', 'حضور', 'ایال', 'زمیر', 'رییس', 'ستاد', 'ارتش_اسرائیل', 'روسا', 'عملیات', 'اطلاعات', 'نظامی', 'طرح', 'فرمانده', 'بلندپایه', 'ارتش', 'نمایندگانی', 'موساد', 'شین', 'برگزار']"
2025-07-22 19:45:10+00:00,"شهرام خلدی، پژوهشگر تاریخ خاورمیانه و روابط بین‌الملل، می‌گوید: «جمهوری اسلامی برخلاف جنگ با عراق، دیگر نمی‌تواند از کش دادن جنگ بهره‌برداری کند. آن زمان به زیرساخت‌های دوران پهلوی تکیه می‌کرد، اما امروز چیزی برای اتکا ندارد و در موقعیتی نیست که تاب یک جنگ فرسایشی را داشته باشد.»
@iranintltv",شهرام خلدی، پژوهشگر تاریخ خاورمیانه و روابط بین‌الملل، می‌گوید: «جمهوری اسلامی برخلاف جنگ با عراق، دیگر نمی‌تواند از کش دادن جنگ بهره‌برداری کند. آن زمان به زیرساخت‌های دوران پهلوی تکیه می‌کرد، اما امروز چیزی برای اتکا ندارد و در موقعیتی نیست که تاب یک جنگ فرسایشی را داشته باشد.»,"['شهرام_خلدی', 'پژوهشگر_تاریخ', 'خاورمیانه', 'روابط_بین', 'الملل', 'جمهوری_اسلامی', 'برخلاف', 'جنگ', 'عراق', 'نمی', 'جنگ', 'بهره', 'زمان', 'زیرساخت_های', 'دوران', 'پهلوی', 'تکیه', 'امروز', 'اتکا', 'موقعیت', 'تاب', 'جنگ', 'فرسایش']"
2025-07-22 19:44:26+00:00,"سازمان عفو بین‌الملل اعلام کرد حمله اسرائیل به زندان اوین تهران باید به عنوان «جنایت جنگی» مورد تحقیق قرار بگیرد.

گفت‌وگو با رها بحرینی حقوقدان و پژوهشگر عفو بین‌الملل در امور ایران
@iranintltv",سازمان عفو بین‌الملل اعلام کرد حمله اسرائیل به زندان اوین تهران باید به عنوان «جنایت جنگی» مورد تحقیق قرار بگیرد. گفت‌وگو با رها بحرینی حقوقدان و پژوهشگر عفو بین‌الملل در امور ایران,"['سازمان', 'عفو_بین', 'الملل', 'اعلام', 'حمله', 'اسرائیل', 'زندان_اوین', 'تهران', 'عنوان', 'جنایت', 'جنگی', 'تحقیق', 'قرار', 'رها', 'بحرینی', 'حقوقدان', 'پژوهشگر', 'عفو_بین', 'الملل', 'امور', 'ایران']"
2025-07-22 18:46:13+00:00,"حسین آقایی، عضو تحریریه ایران‌اینترنشنال، درباره علل توقف ناگهانی جنگ اسرائیل با جمهوری اسلامی می‌گوید: «نتانیاهو به‌دنبال ادامه جنگ و شروع فاز دوم حمله بود که به حذف مهره‌های کلیدی جمهوری اسلامی با هدف تغییر رژیم می‌انجامید، ولی آمریکا مانع ادامه این حملات شد.»
@iranintltv",حسین آقایی، عضو تحریریه ایران‌اینترنشنال، درباره علل توقف ناگهانی جنگ اسرائیل با جمهوری اسلامی می‌گوید: «نتانیاهو به‌دنبال ادامه جنگ و شروع فاز دوم حمله بود که به حذف مهره‌های کلیدی جمهوری اسلامی با هدف تغییر رژیم می‌انجامید، ولی آمریکا مانع ادامه این حملات شد.»,"['حسین', 'آقایی', 'عضو_تحریریه', 'ایران_اینترنشنال', 'علل', 'توقف', 'ناگهانی', 'جنگ', 'اسرائیل', 'جمهوری_اسلامی', 'نتانیاهو', 'دنبال', 'ادامه', 'جنگ', 'فاز', 'حمله', 'حذف', 'مهره', 'کلیدی', 'جمهوری_اسلامی', 'هدف', 'تغییر_رژیم', 'آمریکا', 'مانع', 'ادامه', 'حملات']"
2025-07-22 18:04:07+00:00,"سعید لیلاز، فعال اصلاح‌طلب و عضو شورای مرکزی حزب کارگزاران سازندگی، با اشاره به نفوذ گسترده اطلاعاتی و ناکارآمدی کامل ساختارهای امنیتی جمهوری اسلامی، گفت که در جریان جنگ «۱۲ روزه» اسرائیل و جمهوری اسلامی، «بین ۱۲۰ تا ۱۵۰ لانچر موشک» در ایران، در لحظه شروع به‌کار، به‌طور هم‌زمان منفجر شدند.

لیلاز گفت: «از نظر امنیتی، جمهوری اسلامی ایران به‌راحتی می‌توان گفت به زیر کشیده شد. این بزرگ‌ترین نقطه‌ضعفی است که نشان داده شد.»

او با اشاره به عملکرد سیستم پدافندی در جریان درگیری اخیر افزود: «کل سامانه ضد هوایی ایران هک شده است. ما در یک خواب و رویای ابلهانه‌ی خرگوشی به سر می‌بریم.»
https://iranintl.com/202507227244",سعید لیلاز، فعال اصلاح‌طلب و عضو شورای مرکزی حزب کارگزاران سازندگی، با اشاره به نفوذ گسترده اطلاعاتی و ناکارآمدی کامل ساختارهای امنیتی جمهوری اسلامی، گفت که در جریان جنگ «۱۲ روزه» اسرائیل و جمهوری اسلامی، «بین ۱۲۰ تا ۱۵۰ لانچر موشک» در ایران، در لحظه شروع به‌کار، به‌طور هم‌زمان منفجر شدند. لیلاز گفت: «از نظر امنیتی، جمهوری اسلامی ایران به‌راحتی می‌توان گفت به زیر کشیده شد. این بزرگ‌ترین نقطه‌ضعفی است که نشان داده شد.» او با اشاره به عملکرد سیستم پدافندی در جریان درگیری اخیر افزود: «کل سامانه ضد هوایی ایران هک شده است. ما در یک خواب و رویای ابلهانه‌ی خرگوشی به سر می‌بریم.»,"['سعید', 'لیلاز', 'فعال', 'اصلاح', 'طلب', 'عضو', 'شورای', 'مرکزی', 'حزب', 'کارگزار', 'سازندگی', 'اشاره', 'نفوذ', 'گسترده', 'اطلاعاتی', 'ناکارآمدی', 'ساختار', 'امنیتی', 'جمهوری_اسلامی', 'جریان_جنگ', 'روزه_اسرائیل', 'جمهوری_اسلامی', 'لانچر', 'موشک', 'ایران', 'لحظه', 'کار', 'زمان', 'منفجر', 'لیلاز', 'امنیتی', 'جمهوری_اسلامی', 'ایران', 'راحتی', 'توان', 'بزرگ_ترین', 'نقطه', 'ضعفی', 'نشان', 'اشاره', 'عملکرد', 'سیستم', 'درگیری', 'سامانه', 'هوایی', 'ایران', 'خواب', 'رویا', 'ابلهانه', 'خرگوشی']"
